"avg_rooms_per_dwelling","business_acres","charles_river_adjacency","crime_rate","distance_to_employment_center","highway_accessibility_index","land_zone","median_house_value","nitric_oxide_concentration","property_tax_rate","pupil_teacher_ratio","units_prior_1940"
"4.138","18.1",0,"20.7162","1.1781",24,0,"11.9","0.659",666,"20.2",100
"6.794","18.1",0,"9.82349","1.358",24,0,"13.3","0.671",666,"20.2","98.8"
"7.155","2.46",0,"0.09103","2.7006",3,0,"37.9","0.488",193,"17.8","92.2"
"6.86","4.05",0,"0.06642","2.9153",5,0,"29.9","0.51",296,"16.6","74.4"
"5.627","18.1",0,"9.39063","1.8172",24,0,"12.8","0.74",666,"20.2","93.9"
"5.96","10.59",1,"0.17446","3.8771",4,0,"21.7","0.489",277,"18.6","92.1"
"5.155","18.1",0,"28.6558","1.5894",24,0,"16.3","0.597",666,"20.2",100
"7.163","6.2",0,"0.41238","3.2157",8,0,"31.6","0.504",307,"17.4","79.9"
"5.987","18.1",0,"25.0461","1.5888",24,0,"5.6","0.693",666,"20.2",100
"6.03","6.91",0,"0.22927","5.6894",3,0,"16.6","0.448",233,"17.9","85.5"
"5.961","25.65",0,"0.09299","2.0869",2,0,"20.5","0.581",188,"19.1","92.9"
"8.297","3.97",0,"0.57834","2.4216",5,20,50,"0.575",264,13,67
"6.951","3.44",0,"0.09068","6.4798",5,45,37,"0.437",398,"15.2","21.5"
"6.251","18.1",0,"3.83684","2.2955",24,0,"19.9","0.77",666,"20.2","91.1"
"6.782","3.44",0,"0.07875","3.7886",5,45,32,"0.437",398,"15.2","41.1"
"5.976","18.1",0,"4.66883","2.5806",24,0,"12.7","0.713",666,"20.2","87.9"
"6.108","5.86",0,"0.33983","8.0555",7,22,"24.3","0.431",330,"19.1","34.9"
"6.701","18.1",0,"4.81213","2.5975",24,0,"16.4","0.713",666,"20.2",90
"5.986","25.65",0,"0.16902","1.9929",2,0,"21.4","0.581",188,"19.1","88.4"
"6.43","2.18",0,"0.02985","6.0622",3,0,"28.7","0.458",222,"18.7","58.7"
"4.519","18.1",0,"45.7461","1.6582",24,0,7,"0.693",666,"20.2",100
"6.142","8.14",0,"1.23247","3.9769",4,0,"15.2","0.538",307,21,"91.7"
"6.176","10.01",0,"0.13158","2.7301",6,0,"21.2","0.547",432,"17.8","72.5"
"6.442","15.04",0,"0.04203","3.6659",4,28,"22.9","0.464",270,"18.2","53.6"
"6.315","5.32",0,"0.0459","7.3172",6,"52.5","22.3","0.405",293,"16.6","45.6"
"5.868","3.24",0,"0.06617","5.2146",4,0,"19.3","0.46",430,"16.9","25.8"
